ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise,ordem_analise_anterior,data_entrada_anterior,data_atualizacao_anterior,diff_ordem,diff_ordem2
143,2024-11-22T18:03:13Z,1602075247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.605561/2017-05,1602075/24-7,21310535000139,Total Life comercio de produtos Medico-Hospitalar LTDA-EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,217,2024-11-22T18:03:13Z,2025-01-06T12:07:30Z,74,Aguardando análise
144,2024-11-22T18:04:26Z,1602158240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.184805/2010-25,1602158/24-0,01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,218,2024-11-22T18:04:26Z,2025-01-06T12:07:30Z,74,Aguardando análise
145,2024-11-22T18:05:11Z,1602163243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.786053/2014-33,1602163/24-3,00638390000120,OSTEOMED S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,219,2024-11-22T18:05:11Z,2025-01-06T12:07:30Z,74,Aguardando análise
146,2024-11-22T18:09:50Z,1602228248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.605540/2017-81,1602228/24-8,21310535000139,Total Life comercio de produtos Medico-Hospitalar LTDA-EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,220,2024-11-22T18:09:50Z,2025-01-06T12:07:30Z,74,Aguardando análise
147,2024-11-22T18:11:29Z,1602234248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.786055/2014-91,1602234/24-8,00638390000120,OSTEOMED S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,221,2024-11-22T18:11:29Z,2025-01-06T12:07:30Z,74,Aguardando análise
148,2024-11-22T18:11:57Z,1602150249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.196051/2017-73,1602150/24-9,31116239000155,DENTSPLY IND.COM. LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,222,2024-11-22T18:11:57Z,2025-01-06T12:07:30Z,74,Aguardando análise
149,2024-11-22T18:16:20Z,1602250243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.786068/2014-91,1602250/24-3,00638390000120,OSTEOMED S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,223,2024-11-22T18:16:20Z,2025-01-06T12:07:30Z,74,Aguardando análise
150,2024-11-22T18:25:47Z,1602335249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.385601/2024-16,1602335/24-9,60040599000119,GM DOS REIS INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,224,2024-11-22T18:25:47Z,2025-01-06T12:07:30Z,74,Aguardando análise
151,2024-11-22T18:43:42Z,1602483248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.605568/2017-19,1602483/24-8,21310535000139,Total Life comercio de produtos Medico-Hospitalar LTDA-EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,225,2024-11-22T18:43:42Z,2025-01-06T12:07:30Z,74,Aguardando análise
152,2024-11-22T19:39:49Z,1602959242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.801432/2021-14,1602959/24-2,15524734000147,TECHIMPORT TECNOLOGIA EM IMPLANTES ORTOPEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,226,2024-11-22T19:39:49Z,2025-01-06T12:07:30Z,74,Aguardando análise
153,2024-11-22T19:45:17Z,1602978247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.437834/2024-01,1602978/24-7,15524734000147,TECHIMPORT TECNOLOGIA EM IMPLANTES ORTOPEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,54,227,2024-11-22T19:45:17Z,2025-01-06T12:07:30Z,74,Aguardando análise
154,2024-11-25T10:27:38Z,1605426245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.661294/2020-43,1605426/24-5,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,52,228,2024-11-25T10:27:38Z,2025-01-06T12:07:30Z,74,Aguardando análise
155,2024-11-25T10:48:38Z,1605444243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.492006/2022-66,1605444/24-3,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,52,229,2024-11-25T10:48:38Z,2025-01-06T12:07:30Z,74,Aguardando análise
156,2024-11-25T11:50:08Z,1605584240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.064734/2024-43,1605584/24-0,26185222000110,PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,52,230,2024-11-25T11:50:08Z,2025-01-06T12:07:30Z,74,Aguardando análise
157,2024-11-25T13:13:34Z,1607471248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.169252/2024-89,1607471/24-8,27242576000111,CEDRS - GESTAO EMPRESARIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,231,2024-11-25T13:13:34Z,2025-01-06T12:07:30Z,74,Aguardando análise
158,2024-11-25T13:19:20Z,1607496241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.342338/2023-81,1607496/24-1,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,232,2024-11-25T13:19:20Z,2025-01-06T12:07:30Z,74,Aguardando análise
159,2024-11-25T13:28:17Z,1607431246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.363335/2023-81,1607431/24-6,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,233,2024-11-25T13:28:17Z,2025-01-06T12:07:30Z,74,Aguardando análise
160,2024-11-25T13:36:17Z,1607593246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.169371/2024-31,1607593/24-6,27242576000111,CEDRS - GESTAO EMPRESARIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,234,2024-11-25T13:36:17Z,2025-01-06T12:07:30Z,74,Aguardando análise
161,2024-11-25T13:40:21Z,1607610248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.110541/2018-23,1607610/24-8,31116239000155,DENTSPLY IND.COM. LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,235,2024-11-25T13:40:21Z,2025-01-06T12:07:30Z,74,Aguardando análise
162,2024-11-25T19:23:16Z,1610110242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.577369/2022-71,1610110/24-2,09117476000181,MANDALA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTO MEDICO HOSPITALAR LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,236,2024-11-25T19:23:16Z,2025-01-06T12:07:30Z,74,Aguardando análise
163,2024-11-25T19:37:24Z,1610265246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.077428/2024-77,1610265/24-6,40335413000141,"PROMEX MAIS COMERCIO, IMPORTACAO E EXPORTACAO LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,237,2024-11-25T19:37:24Z,2025-01-06T12:07:30Z,74,Aguardando análise
164,2024-11-25T19:42:53Z,1610299248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.147678/2024-81,1610299/24-8,40335413000141,"PROMEX MAIS COMERCIO, IMPORTACAO E EXPORTACAO LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,238,2024-11-25T19:42:53Z,2025-01-06T12:07:30Z,74,Aguardando análise
165,2024-11-25T19:48:52Z,1610341244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.184621/2024-63,1610341/24-4,40335413000141,"PROMEX MAIS COMERCIO, IMPORTACAO E EXPORTACAO LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,239,2024-11-25T19:48:52Z,2025-01-06T12:07:30Z,74,Aguardando análise
166,2024-11-25T19:49:25Z,1610418247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.378018/2013-17,1610418/24-7,05823205000190,MAQUIRA INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,240,2024-11-25T19:49:25Z,2025-01-06T12:07:30Z,74,Aguardando análise
167,2024-11-25T19:57:26Z,1610472241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.594908/2018-50,1610472/24-1,21310535000139,Total Life comercio de produtos Medico-Hospitalar LTDA-EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,241,2024-11-25T19:57:26Z,2025-01-06T12:07:30Z,74,Aguardando análise
168,2024-11-25T20:03:03Z,1610544242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.435276/2016-06,1610544/24-2,02625651000100,"SANFARMA INDÚSTRIA, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,242,2024-11-25T20:03:03Z,2025-01-06T12:07:30Z,74,Aguardando análise
169,2024-11-25T20:15:48Z,1610647246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.076685/2019-24,1610647/24-6,18272616000187,ARTHREX DO BRASIL IMPORTACAO E COMERCIO DE EQUIPAMENTOS MEDICOS LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,243,2024-11-25T20:15:48Z,2025-01-06T12:07:30Z,74,Aguardando análise
170,2024-11-25T20:27:20Z,1610641248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.479747/2016-03,1610641/24-8,02625651000100,"SANFARMA INDÚSTRIA, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,244,2024-11-25T20:27:20Z,2025-01-06T12:07:30Z,74,Aguardando análise
171,2024-11-25T20:47:15Z,1610871243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.454631/2014-86,1610871/24-3,04718143000194,VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,245,2024-11-25T20:47:15Z,2025-01-06T12:07:30Z,74,Aguardando análise
172,2024-11-25T21:00:00Z,1610956249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.677774/2010-30,1610956/24-9,02543673000113,3 - R INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,246,2024-11-25T21:00:00Z,2025-01-06T12:07:30Z,74,Aguardando análise
173,2024-11-26T11:40:23Z,1612476244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.469518/2021-48,1612476/24-4,01072992000125,DGTECH INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,51,247,2024-11-26T11:40:23Z,2025-01-06T12:07:30Z,74,Aguardando análise
174,2024-11-26T12:07:07Z,1612591248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.063484/2013-37,1612591/24-8,49351786000180,BAXTER HOSPITALAR LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,248,2024-11-26T12:07:07Z,2025-01-06T12:07:30Z,74,Aguardando análise
175,2024-11-26T12:15:26Z,1612610242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.556770/2014-16,1612610/24-2,49351786000180,BAXTER HOSPITALAR LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,249,2024-11-26T12:15:26Z,2025-01-06T12:07:30Z,74,Aguardando análise
176,2024-11-26T12:55:24Z,1612844243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.348405/2017-39,1612844/24-3,19933144000129,"QR CONSULTING, IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,250,2024-11-26T12:55:24Z,2025-01-06T12:07:30Z,74,Aguardando análise
177,2024-11-26T13:20:06Z,1614516243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.209309/2017-95,1614516/24-3,19933144000129,"QR CONSULTING, IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,251,2024-11-26T13:20:06Z,2025-01-06T12:07:30Z,74,Aguardando análise
178,2024-11-26T13:35:07Z,1614620245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.592321/2023-73,1614620/24-5,00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,252,2024-11-26T13:35:07Z,2025-01-06T12:07:30Z,74,Aguardando análise
179,2024-11-26T14:03:04Z,1615011242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.398297/2011-11,1615011/24-2,02551718000100,EMFILS - INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,253,2024-11-26T14:03:04Z,2025-01-06T12:07:30Z,74,Aguardando análise
180,2024-11-26T16:05:39Z,1615889248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.538498/2016-01,1615889/24-8,10818693000188,BARD BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA A SAÚDE LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,254,2024-11-26T16:05:39Z,2025-01-06T12:07:30Z,74,Aguardando análise
181,2024-11-26T16:43:58Z,1616076241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.516356/2006-13,1616076/24-1,01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,255,2024-11-26T16:43:58Z,2025-01-06T12:07:30Z,74,Aguardando análise
182,2024-11-26T18:57:46Z,1617364240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.683144/2008-02,1617364/24-0,00233695000151,CONEXAO SISTEMAS DE PROTESE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,256,2024-11-26T18:57:46Z,2025-01-06T12:07:30Z,74,Aguardando análise
183,2024-11-26T19:04:03Z,1617423246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.221660/2024-59,1617423/24-6,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALAR LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,257,2024-11-26T19:04:03Z,2025-01-06T12:07:30Z,74,Aguardando análise
184,2024-11-26T19:17:14Z,1617524247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.056729/2016-91,1617524/24-7,60397965000191,LYSANDA PRODUTOS ODONTOLÓGICOS LTDA. EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,258,2024-11-26T19:17:14Z,2025-01-06T12:07:30Z,74,Aguardando análise
185,2024-11-26T19:52:38Z,1617792241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.754306/2023-25,1617792/24-1,10978692000109,AMPLITUDE LATIN AMERICA S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50,259,2024-11-26T19:52:38Z,2025-01-06T12:07:30Z,74,Aguardando análise
186,2024-11-27T12:31:03Z,1620443244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.378752/2019-42,1620443/24-4,08665813000102,CIRÚRGICA TEXMED LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,260,2024-11-27T12:31:03Z,2025-01-06T12:07:30Z,74,Aguardando análise
187,2024-11-27T13:05:36Z,1621723241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.256446/2024-13,1621723/24-1,10842393000134,LIVE HEALTHCARE SUPPLIES,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,261,2024-11-27T13:05:36Z,2025-01-06T12:07:30Z,74,Aguardando análise
188,2024-11-27T13:54:32Z,1622076249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.892012/2024-81,1622076/24-9,01645409000128,AUTO SUTURE DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,262,2024-11-27T13:54:32Z,2025-01-06T12:07:30Z,74,Aguardando análise
189,2024-11-27T13:54:39Z,1622077245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.367893/2024-05,1622077/24-5,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,263,2024-11-27T13:54:39Z,2025-01-06T12:07:30Z,74,Aguardando análise
190,2024-11-27T15:00:34Z,1622800249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.184784/2024-46,1622800/24-9,08539206000104,RP CONEXOES RESTAURADORAS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,264,2024-11-27T15:00:34Z,2025-01-06T12:07:30Z,74,Aguardando análise
191,2024-11-27T17:07:39Z,1623413249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.428334/2024-71,1623413/24-9,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,265,2024-11-27T17:07:39Z,2025-01-06T12:07:30Z,74,Aguardando análise
192,2024-11-27T17:13:22Z,1623437245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.918090/2021-71,1623437/24-5,09123223000110,TRAUMEC TECNOLOGIA E IMPLANTES ORTOPEDICOS IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,266,2024-11-27T17:13:22Z,2025-01-06T12:07:30Z,74,Aguardando análise
193,2024-11-27T18:15:31Z,1623969247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.371527/2024-42,1623969/24-7,66581935000117,MONTSERRAT COMERCIAL IMPORTADORA E EXPORTADORA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,267,2024-11-27T18:15:31Z,2025-01-06T12:07:30Z,74,Aguardando análise
194,2024-11-27T18:42:12Z,1624215246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.055068/2022-91,1624215/24-6,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,268,2024-11-27T18:42:12Z,2025-01-06T12:07:30Z,74,Aguardando análise
195,2024-11-27T19:06:24Z,1624472249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.207639/2015-43,1624472/24-9,20002151000196,CAM MEDICAL SYSTEMS BRASIL LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,269,2024-11-27T19:06:24Z,2025-01-06T12:07:30Z,74,Aguardando análise
196,2024-11-27T19:06:30Z,1624473245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.589045/2020-13,1624473/24-5,32929819000124,ALCON BRASIL CUIDADOS COM A SAUDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,270,2024-11-27T19:06:30Z,2025-01-06T12:07:30Z,74,Aguardando análise
197,2024-11-27T19:24:59Z,1624611249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.589032/2020-44,1624611/24-9,32929819000124,ALCON BRASIL CUIDADOS COM A SAUDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,271,2024-11-27T19:24:59Z,2025-01-06T12:07:30Z,74,Aguardando análise
198,2024-11-27T19:25:03Z,1624612245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.398669/2021-12,1624612/24-5,07450060000236,"BLUMENTHAL DISTRIBUIDORA - IMP, EXP, COM E DIST DE MATERIAIS MEDICO-HOSPITALARES E ORTOPEDICOS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,272,2024-11-27T19:25:03Z,2025-01-06T12:07:30Z,74,Aguardando análise
199,2024-11-27T19:29:55Z,1624636241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.903723/2024-99,1624636/24-1,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,273,2024-11-27T19:29:55Z,2025-01-06T12:07:30Z,74,Aguardando análise
200,2024-11-27T19:32:25Z,1624641245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.567854/2022-36,1624641/24-5,93896397001447,MERCUR S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,274,2024-11-27T19:32:25Z,2025-01-06T12:07:30Z,74,Aguardando análise
201,2024-11-27T20:40:56Z,1625325240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.560070/2022-87,1625325/24-0,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49,275,2024-11-27T20:40:56Z,2025-01-06T12:07:30Z,74,Aguardando análise
202,2024-11-28T12:19:35Z,1627453245,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.247640/2019-09,1627453/24-5,01645409000128,AUTO SUTURE DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,276,2024-11-28T12:19:35Z,2025-01-06T12:07:30Z,74,Aguardando análise
203,2024-11-28T12:26:45Z,1627517243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.251838/2023-13,1627517/24-3,01645409000128,AUTO SUTURE DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,277,2024-11-28T12:26:45Z,2025-01-06T12:07:30Z,74,Aguardando análise
204,2024-11-28T12:38:23Z,1627590242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.484181/2019-02,1627590/24-2,01645409000128,AUTO SUTURE DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,278,2024-11-28T12:38:23Z,2025-01-06T12:07:30Z,74,Aguardando análise
205,2024-11-28T12:39:32Z,1627595244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.169873/2008-42,1627595/24-4,61100244000130,FANEM LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,279,2024-11-28T12:39:32Z,2025-01-06T12:07:30Z,74,Aguardando análise
206,2024-11-28T12:52:15Z,1627721240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.361697/2024-19,1627721/24-0,01440590000136,FRESENIUS MEDICAL CARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,280,2024-11-28T12:52:15Z,2025-01-06T12:07:30Z,74,Aguardando análise
207,2024-11-28T13:07:28Z,1629421243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.201004/2022-78,1629421/24-3,04008318000170,ESSENCE DENTAL IMPORTACAO E EXPORTACAO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,281,2024-11-28T13:07:28Z,2025-01-06T12:07:30Z,74,Aguardando análise
208,2024-11-28T13:12:07Z,1629468240,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.485783/2008-04,1629468/24-0,61100244000130,FANEM LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,282,2024-11-28T13:12:07Z,2025-01-06T12:07:30Z,74,Aguardando análise
209,2024-11-28T13:22:16Z,1629543241,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.485797/2008-10,1629543/24-1,61100244000130,FANEM LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48,283,2024-11-28T13:22:16Z,2025-01-06T12:07:30Z,74,Aguardando análise
