ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,processo_numero,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise
149,2024-11-12T17:48:43Z,1557478244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351374285201808,2025-01-02T14:35:21Z,25351.374285/2018-09,1557478/24-4,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
150,2024-11-12T18:00:37Z,1557527245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351091326202464,2025-01-02T14:35:21Z,25351.091326/2024-64,1557527/24-5,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
151,2024-11-12T18:07:38Z,1557580243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351328450201416,2025-01-02T14:35:21Z,25351.328450/2014-18,1557580/24-3,54858014000170,ESSITY SOLUCOES MEDICAS DO BRASIL COMERCIO E DISTRIBUICAO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
152,2024-11-12T18:26:52Z,1557737240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351333368202056,2025-01-02T14:35:21Z,25351.333368/2020-54,1557737/24-0,08599380000134,ALG BRASIL INDÚSTRIA DE EQUIPAMENTOS ELETRÔNICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
153,2024-11-12T18:44:46Z,1557922241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351316773202016,2025-01-02T14:35:21Z,25351.316773/2020-16,1557922/24-1,08599380000134,ALG BRASIL INDÚSTRIA DE EQUIPAMENTOS ELETRÔNICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
154,2024-11-12T19:04:18Z,1558132244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351198662202356,2025-01-02T14:35:21Z,25351.198662/2023-56,1558132/24-4,37914784000173,SMITH KLIMB COMÉRCIO IMPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
155,2024-11-12T19:09:33Z,1558177248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351413522201856,2025-01-02T14:35:21Z,25351.413522/2018-56,1558177/24-8,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
156,2024-11-12T19:29:04Z,1558384243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351380639201848,2025-01-02T14:35:21Z,25351.380639/2018-46,1558384/24-3,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
157,2024-11-12T21:46:39Z,1559069244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351570275201552,2025-01-02T14:35:21Z,25351.570275/2015-53,1559069/24-4,25940099000132,MX3 GROUP LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
158,2024-11-13T11:05:23Z,1560185244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351414142202488,2025-01-02T14:35:21Z,25351.414142/2024-87,1560185/24-4,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
159,2024-11-13T12:45:26Z,1560611243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351567929201600,2025-01-02T14:35:21Z,25351.567929/2016-01,1560611/24-3,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
160,2024-11-13T13:10:57Z,1562150243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351478063201580,2025-01-02T14:35:21Z,25351.478063/2015-80,1562150/24-3,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,50
161,2024-11-13T18:43:50Z,1564362248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351546939202280,2025-01-02T14:35:21Z,25351.546939/2022-81,1564362/24-8,42649953000125,SDI HOLDINGS PTY LTD DO BRASIL,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
162,2024-11-13T19:35:58Z,1564787249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351154891201800,2025-01-02T14:35:21Z,25351.154891/2018-00,1564787/24-9,58619131000131,HEXAGON INDUSTRIA E COMÉRCIO DE IMPLANTES ORTOPÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
163,2024-11-13T20:31:39Z,1565253248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351037006202468,2025-01-02T14:35:21Z,25351.037006/2024-69,1565253/24-8,29763498000126,BLS MEDICAL COMÉRCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
164,2024-11-13T20:36:42Z,1565331249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351851193202312,2025-01-02T14:35:21Z,25351.851193/2023-13,1565331/24-9,29763498000126,BLS MEDICAL COMÉRCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
165,2024-11-13T20:40:41Z,1565344243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351536581202368,2025-01-02T14:35:21Z,25351.536581/2023-69,1565344/24-3,29763498000126,BLS MEDICAL COMÉRCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
166,2024-11-14T01:21:34Z,1566011248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351552659201824,2025-01-02T14:35:21Z,25351.552659/2018-25,1566011/24-8,19585158000107,CARDINAL HEALTH DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
167,2024-11-14T01:48:26Z,1566032245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351552509201812,2025-01-02T14:35:21Z,25351.552509/2018-11,1566032/24-5,19585158000107,CARDINAL HEALTH DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
168,2024-11-14T11:36:02Z,1567075240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351223490201980,2025-01-02T14:35:21Z,25351.223490/2019-80,1567075/24-0,19585158000107,CARDINAL HEALTH DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
169,2024-11-14T11:50:56Z,1567137245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351589524200844,2025-01-02T14:35:21Z,25351.589524/2008-43,1567137/24-5,05823205000190,MAQUIRA INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
170,2024-11-14T11:54:45Z,1567150241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351282335201904,2025-01-02T14:35:21Z,25351.282335/2019-03,1567150/24-1,19585158000107,CARDINAL HEALTH DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
171,2024-11-14T12:13:07Z,1567193242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351722297202140,2025-01-02T14:35:21Z,25351.722297/2021-41,1567193/24-2,67882621000117,JG MORIYA REPRESENTAÇÃO IMPORTADORA EXPORTADORA COMERCIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
172,2024-11-14T12:17:54Z,1567196241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351007658201652,2025-01-02T14:35:21Z,25351.007658/2016-51,1567196/24-1,06373225000170,SINTEGRA SURGICAL SCIENCIES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
173,2024-11-14T13:26:29Z,1568886241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351374298201872,2025-01-02T14:35:21Z,25351.374298/2018-70,1568886/24-1,06143957000173,GADALI MEDICAL COMÉRCIO DE PRODUTOS MÉDICO-HOSPITALAR LTDA. ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
174,2024-11-14T13:54:35Z,1569082243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351360931201840,2025-01-02T14:35:21Z,25351.360931/2018-42,1569082/24-3,06374891000122,SELECTA INDUSTRIAL E DISTRIBUIDORA DE ARTIGOS MÉDICOS E HOSPITALARES LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
175,2024-11-14T14:02:21Z,1569257248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351108247200616,2025-01-02T14:35:21Z,25351.108247/2006-18,1569257/24-8,06295846000182,ULTRADENT DO BRASIL PRODUTOS ODONTOLOGICOS LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
176,2024-11-14T14:05:54Z,1569218242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351430055202476,2025-01-02T14:35:21Z,25351.430055/2024-77,1569218/24-2,08151621000188,SILCOR TRADING LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,49
177,2024-11-14T15:01:54Z,1569777241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351189073201616,2025-01-02T14:35:21Z,25351.189073/2016-15,1569777/24-1,68072172000104,IOL IMPLANTES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
178,2024-11-14T17:04:57Z,1570337241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351903734202480,2025-01-02T14:35:21Z,25351.903734/2024-79,1570337/24-1,26443446000184,HEALTH CARE SOLUTIONS INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
179,2024-11-14T17:07:26Z,1570527245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351410700202436,2025-01-02T14:35:21Z,25351.410700/2024-35,1570527/24-5,16970346000152,YLLER BIOMATERIAIS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
180,2024-11-14T17:46:22Z,1570838241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351292372200516,2025-01-02T14:35:21Z,25351.292372/2005-16,1570838/24-1,38907770000195,PRISMA INSTRUMENTOS ODONTOLÓGICOS LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
181,2024-11-14T18:10:14Z,1571094245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351211505202344,2025-01-02T14:35:21Z,25351.211505/2023-43,1571094/24-5,64602097000195,ADITEK DO BRASIL S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
182,2024-11-14T19:51:44Z,1572166240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351420658202460,2025-01-02T14:35:21Z,25351.420658/2024-61,1572166/24-0,04718143000194,VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
183,2024-11-15T13:04:38Z,1573973246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351606515201160,2025-01-02T14:35:21Z,25351.606515/2011-60,1573973/24-6,01209413000143,WELFARE IMP. DE PROD. MÉDICO-ODONTOLÓGICOS LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,48
184,2024-11-16T12:30:18Z,1574678248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351277151201912,2025-01-02T14:35:21Z,25351.277151/2019-13,1574678/24-8,23371106000105,Medela Brasil Produtos Médicos Ltda,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,47
185,2024-11-18T12:16:58Z,1575410249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351031537202016,2025-01-02T14:35:21Z,25351.031537/2020-14,1575410/24-9,82641325000118,CREMER S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,45
186,2024-11-18T13:22:21Z,1577239245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351387601201800,2025-01-02T14:35:21Z,25351.387601/2018-02,1577239/24-5,05216859000156,BIOBASE INDUSTRIA E COMERCIO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,45
187,2024-11-18T14:19:39Z,1577711246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351170039201020,2025-01-02T14:35:21Z,25351.170039/2010-21,1577711/24-6,01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,45
188,2024-11-18T14:52:02Z,1577982240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351327226200520,2025-01-02T14:35:21Z,25351.327226/2005-19,1577982/24-0,01513946000114,BOSTON SCIENTIFIC DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
189,2024-11-18T15:22:26Z,1578205247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351391154201608,2025-01-02T14:35:21Z,25351.391154/2016-06,1578205/24-7,08279999000161,GC SOUTH AMERICA COMÉRCIO DE PRODUTOS DENTAIS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
190,2024-11-18T15:55:19Z,1578266246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351513717201984,2025-01-02T14:35:21Z,25351.513717/2019-86,1578266/24-6,02913684000148,ZIMMER BIOMET BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
191,2024-11-18T17:08:07Z,1578639247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351346731201580,2025-01-02T14:35:21Z,25351.346731/2015-81,1578639/24-7,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
192,2024-11-18T18:20:58Z,1579195245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351753142201072,2025-01-02T14:35:21Z,25351.753142/2010-72,1579195/24-5,10220940000140,"CAMAHE-INDUSTRIA E COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAUDE",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
193,2024-11-18T18:30:29Z,1579233244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351461669202240,2025-01-02T14:35:21Z,25351.461669/2022-39,1579233/24-4,28345933000130,BRAMED COMERCIO HOSPITALAR DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
194,2024-11-18T18:38:40Z,1579382240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351501788202312,2025-01-02T14:35:21Z,25351.501788/2023-12,1579382/24-0,10220940000140,"CAMAHE-INDUSTRIA E COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAUDE",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
195,2024-11-18T19:39:52Z,1579970249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351128143202320,2025-01-02T14:35:21Z,25351.128143/2023-21,1579970/24-9,15524734000147,TECHIMPORT TECNOLOGIA EM IMPLANTES ORTOPEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
196,2024-11-18T20:04:48Z,1580108245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351656556202140,2025-01-02T14:35:21Z,25351.656556/2021-39,1580108/24-5,07450060000236,"BLUMENTHAL DISTRIBUIDORA - IMP, EXP, COM E DIST DE MATERIAIS MEDICO-HOSPITALARES E ORTOPEDICOS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
197,2024-11-18T21:13:24Z,1580537243,80256,MATERIAL – Alteração de notificação – Implementação imediata,250000170939838,2025-01-02T14:35:21Z,25000.017093/98-38,1580537/24-3,31116239000155,DENTSPLY IND.COM. LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
198,2024-11-19T10:43:19Z,1581872241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351848479201848,2025-01-02T14:35:21Z,25351.848479/2018-46,1581872/24-1,05343029000190,MEDLEVENSOHN COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
199,2024-11-19T11:43:42Z,1582022241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351023198201968,2025-01-02T14:35:21Z,25351.023198/2019-69,1582022/24-1,05343029000190,MEDLEVENSOHN COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
200,2024-11-19T12:09:53Z,1582196249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351500115202264,2025-01-02T14:35:21Z,25351.500115/2022-64,1582196/24-9,03580620000135,MEDSTAR IMPORTAÇÃO E EXPORTAÇÃO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
201,2024-11-19T12:30:27Z,1582307245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351641420201920,2025-01-02T14:35:21Z,25351.641420/2019-18,1582307/24-5,19585158000107,CARDINAL HEALTH DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
202,2024-11-19T12:59:46Z,1582570248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351676771201200,2025-01-02T14:35:21Z,25351.676771/2011-98,1582570/24-8,38851879000158,"ZATTY INDUSTRIA COMERCIO, IMPORTACAO E EXPORTACAO DE INSTRUMENTACAO CIRURGICA E ODONTOLOGICA LTDA - EPP",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
203,2024-11-19T13:13:26Z,1583999248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351486740201728,2025-01-02T14:35:21Z,25351.486740/2017-29,1583999/24-8,14875460000178,BFND ARTIGOS EPORTIVOS LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
204,2024-11-19T13:44:23Z,1584317248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351208021202156,2025-01-02T14:35:21Z,25351.208021/2021-55,1584317/24-8,05431736000138,ASTRA CIENTIFICA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
205,2024-11-19T13:50:58Z,1584401249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351208022202108,2025-01-02T14:35:21Z,25351.208022/2021-08,1584401/24-9,05431736000138,ASTRA CIENTIFICA LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,44
206,2024-11-19T14:40:31Z,1584812249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351487340201900,2025-01-02T14:35:21Z,25351.487340/2019-01,1584812/24-9,18920484000152,TECNOCIRURGICA COMERCIO DE MATERIAIS MEDICOS CIRURGICOS E HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
207,2024-11-19T16:32:16Z,1585532240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351164346202460,2025-01-02T14:35:21Z,25351.164346/2024-61,1585532/24-0,33425331000122,VIGODENT INDUSTRIA E COMERCIO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
208,2024-11-19T16:38:21Z,1585559245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351191213201480,2025-01-02T14:35:21Z,25351.191213/2014-82,1585559/24-5,33425331000122,VIGODENT INDUSTRIA E COMERCIO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
209,2024-11-19T19:02:31Z,1586662244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351261379202024,2025-01-02T14:35:21Z,25351.261379/2020-25,1586662/24-4,65333577000160,Minas Medical Ltda,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
210,2024-11-19T19:04:03Z,1586680242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351426027201564,2025-01-02T14:35:21Z,25351.426027/2015-64,1586680/24-2,08279999000161,GC SOUTH AMERICA COMÉRCIO DE PRODUTOS DENTAIS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
211,2024-11-19T20:10:37Z,1587381249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351903653201652,2025-01-02T14:35:21Z,25351.903653/2016-51,1587381/24-9,58652728000188,JJSV PRODUTOS OTICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
212,2024-11-19T20:22:44Z,1587474247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351350114201968,2025-01-02T14:35:21Z,25351.350114/2019-67,1587474/24-7,05823205000190,MAQUIRA INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
213,2024-11-19T22:59:46Z,1588906248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351432299202496,2025-01-02T14:35:21Z,25351.432299/2024-94,1588906/24-8,27242576000111,CEDRS - GESTAO EMPRESARIAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
214,2024-11-20T13:30:35Z,1589561244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351208045200412,2025-01-02T14:35:21Z,25351.208045/2004-11,1589561/24-4,82641325000118,CREMER S/A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,43
215,2024-11-21T11:44:09Z,1591303249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351597693201192,2025-01-02T14:35:21Z,25351.597693/2011-94,1591303/24-9,05741680000118,IMPLACIL DE BORTOLI - MATERIAL ODONTOLOGICO S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,42
216,2024-11-21T13:23:43Z,1593017243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351683634202328,2025-01-02T14:35:21Z,25351.683634/2023-30,1593017/24-3,07575813000159,NUTEC GLOBAL INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,42
217,2024-11-21T14:34:46Z,1593650248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351095836201476,2025-01-02T14:35:21Z,25351.095836/2014-77,1593650/24-8,64602097000195,ADITEK DO BRASIL S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,42
218,2024-11-21T15:35:22Z,1593864248,80256,MATERIAL – Alteração de notificação – Implementação imediata,250000025360018,2025-01-02T14:35:21Z,25000.002536/00-18,1593864/24-8,00969061000161,CARBOGEL INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
219,2024-11-21T16:42:46Z,1594312249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351585064202072,2025-01-02T14:35:21Z,25351.585064/2020-71,1594312/24-9,18192496000108,Autentica Medical Importação Comercio e Serviços LTDA-ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
220,2024-11-21T16:45:22Z,1594317241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351520434202112,2025-01-02T14:35:21Z,25351.520434/2021-13,1594317/24-1,18192496000108,Autentica Medical Importação Comercio e Serviços LTDA-ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
221,2024-11-21T17:26:55Z,1594595241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351459805202140,2025-01-02T14:35:21Z,25351.459805/2021-40,1594595/24-1,07450060000236,"BLUMENTHAL DISTRIBUIDORA - IMP, EXP, COM E DIST DE MATERIAIS MEDICO-HOSPITALARES E ORTOPEDICOS LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
222,2024-11-21T17:39:37Z,1594672245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351036666201528,2025-01-02T14:35:21Z,25351.036666/2015-29,1594672/24-5,06295846000182,ULTRADENT DO BRASIL PRODUTOS ODONTOLOGICOS LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
223,2024-11-21T17:43:46Z,1594690243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351713605201840,2025-01-02T14:35:21Z,25351.713605/2018-42,1594690/24-3,04718143000194,VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
224,2024-11-21T18:09:19Z,1594990247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351276137200416,2025-01-02T14:35:21Z,25351.276137/2004-16,1594990/24-7,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
225,2024-11-21T19:12:43Z,1595487247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351973939201644,2025-01-02T14:35:21Z,25351.973939/2016-45,1595487/24-7,02794555000340,COLOPLAST DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
226,2024-11-21T20:01:44Z,1596027240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351308993202492,2025-01-02T14:35:21Z,25351.308993/2024-91,1596027/24-0,04967408000198,EMERGO BRAZIL IMPORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS HOSPITALARES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
227,2024-11-21T20:16:28Z,1596096241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351301042202492,2025-01-02T14:35:21Z,25351.301042/2024-91,1596096/24-1,24684423000136,SURGITEC COMERCIO E FABRICAÇÃO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
228,2024-11-21T21:55:19Z,1596748249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351227813201912,2025-01-02T14:35:21Z,25351.227813/2019-12,1596748/24-9,02543673000113,3 - R INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,41
